Product,Category,Price,Rating,Quantity
Smart TV,Electronics,699.99,4.6,80
Noise-Canceling Headphones,Electronics,149.95,4.7,120
Gaming Console,Electronics,399.99,4.5,100
Wireless Mouse,Electronics,19.99,4.4,200
Electric Kettle,Kitchen,34.95,4.3,150
Air Purifier,Home & Garden,199.99,4.5,100
Smart Doorbell,Home Security,129.99,4.6,120
Fitness Smartwatch,Fitness,129.95,4.3,180
Laptop Stand,Office Supplies,24.99,4.2,250
Wireless Router,Electronics,79.99,4.7,150
Portable SSD,Electronics,179,4.6,90
Blender,Kitchen,49.99,4.4,200
Wireless Earphones,Electronics,59.99,4.5,180
Robot Vacuum Cleaner,Home Appliances,299.99,4.7,80
Smart Scale,Fitness,49.95,4.3,150
DSLR Camera,Electronics,799,4.6,100
Bluetooth Headset,Electronics,39.99,4.4,200
Portable Projector,Electronics,129.99,4.5,120
Wireless Security Camera,Home Security,89.99,4.3,180
Gaming Keyboard,Electronics,99.99,4.6,150
Smart Refrigerator,Home Appliances,1499.99,4.8,60
Wireless Printer,Office Supplies,299.95,4.6,100
Smart Lock,Home Security,199.99,4.7,120
Fitness Tracker Watch,Fitness,89.95,4.5,150
Digital Air Fryer,Kitchen,129.99,4.4,80
Wi-Fi Range Extender,Electronics,49.99,4.3,200
Bluetooth Smart Bulb,Home & Garden,19.99,4.2,150
Wireless Gaming Controller,Electronics,69.99,4.5,180
Cordless Vacuum Cleaner,Home Appliances,299,4.6,100
Smart Thermostatic Valve,Home Automation,79.95,4.4,120
Wireless Barcode Scanner,Office Supplies,99.99,4.7,150
Yoga Mat,Fitness,29.99,4.3,200
Smart Pet Feeder,Pet Supplies,79.99,4.5,100
Bluetooth Car Kit,Automotive,39.95,4.2,180
Portable Ice Maker,Kitchen,149.99,4.6,80
Wireless Charging Pad,Electronics,29.99,4.4,150
Smart Plant Monitor,Home & Garden,59.99,4.5,120
Electric Wine Opener,Kitchen,24.95,4.3,200
Gaming Racing Wheel,Electronics,199.99,4.6,100
Portable Bluetooth Printer,Office Supplies,79.99,4.4,150
